ID,SalePrice,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,ScreenPorch,TotalBsmtSF,WoodDeckSF,1stFlrSF,2ndFlrSF,YearBuilt,YearRemodAdd,isof
114,217000,35,869,905,192,450,1953.0,2259,21000,0.0,184.0,120,0,1809,166,2259,0,1953,1953,-1
186,475000,0,0,1107,0,840,1993.0,3608,22950,90.0,0.0,260,410,1107,0,1518,1518,1892,1993,-1
198,235000,1036,184,140,552,795,1918.0,3112,25419,174.0,0.0,16,0,1360,0,1360,1360,1918,1990,-1
225,386250,56,0,2336,0,968,2003.0,2392,13472,103.0,922.0,105,0,2392,248,2392,0,2003,2003,-1
305,295000,0,0,1470,0,870,2003.0,3493,18386,87.0,0.0,0,0,1470,302,1675,1818,1880,2002,-1
314,375000,1236,820,80,0,513,1965.0,2036,215245,150.0,0.0,0,0,2136,0,2036,0,1965,1965,-1
336,228950,1249,147,103,0,529,1965.0,1786,164660,0.0,0.0,0,0,1499,670,1619,167,1965,1965,-1
441,555000,1767,539,788,0,672,2008.0,2402,15431,105.0,200.0,72,170,3094,0,2402,0,2008,2008,-1
496,34900,495,0,225,115,0,0.0,720,7879,60.0,0.0,523,0,720,0,720,0,1920,1950,-1
497,430000,1231,0,1969,291,546,1992.0,3228,12692,0.0,0.0,75,0,3200,264,3228,0,1992,1993,-1
521,106250,0,0,0,210,0,0.0,1294,10800,60.0,0.0,114,0,0,220,694,600,1900,2000,-1
524,184750,2260,0,878,0,884,2007.0,4676,40094,130.0,762.0,406,0,3138,208,3138,1538,2007,2008,-1
584,325000,0,0,1237,0,880,1988.0,2775,13500,75.0,0.0,502,0,1237,105,1521,1254,1893,2000,-1
636,200000,256,0,1184,0,0,0.0,3395,10896,60.0,0.0,110,0,1440,0,1440,1440,1914,1995,-1
692,755000,1455,0,989,0,832,1994.0,4316,21535,104.0,1170.0,50,0,2444,382,2444,1872,1994,1995,-1
748,265979,0,0,1240,386,864,1950.0,2640,11700,65.0,0.0,0,0,1240,181,1320,1320,1880,2003,-1
770,538000,1416,0,234,0,841,2003.0,3279,53504,47.0,603.0,36,210,1650,503,1690,1589,2003,2003,-1
829,185000,249,764,0,0,538,1967.0,2126,28698,0.0,0.0,0,225,1013,486,1160,966,1967,1967,-1
849,240000,0,0,907,0,360,1908.0,2358,45600,75.0,0.0,40,175,907,486,1307,1051,1908,1997,-1
855,170000,306,1085,372,0,454,1955.0,1779,17920,102.0,0.0,418,312,1763,0,1779,0,1955,1974,-1
889,268000,351,823,1043,0,621,1970.0,2217,15865,95.0,0.0,207,224,2217,81,2217,0,1970,1970,-1
1025,287000,1165,400,0,174,665,1976.0,2898,15498,0.0,0.0,72,0,1565,0,2898,0,1976,1976,-1
1170,625000,1387,0,543,0,807,1995.0,3627,35760,118.0,1378.0,76,0,1930,361,1831,1796,1995,1996,-1
1174,200500,152,469,977,0,0,0.0,3086,18030,138.0,0.0,0,0,1598,122,1636,971,1946,1994,-1
1183,745000,2096,0,300,0,813,1996.0,4476,15623,160.0,0.0,78,0,2396,171,2411,2065,1996,1996,-1
1185,186700,1159,0,413,0,995,1963.0,1572,35133,50.0,226.0,263,263,1572,0,1572,0,1963,1963,-1
1269,381000,192,0,536,0,1014,1982.0,3447,14100,0.0,632.0,12,0,728,314,1968,1479,1935,1997,-1
1299,160000,5644,0,466,0,1418,2008.0,5642,63887,313.0,796.0,292,0,6110,214,4692,950,2008,2008,-1
1329,256000,493,0,1017,0,520,1920.0,2792,10440,60.0,0.0,547,480,1510,0,1584,1208,1920,1950,-1
1387,250000,790,469,133,0,564,1978.0,2784,16692,80.0,184.0,112,440,1392,0,1392,1392,1978,1978,-1
